"url_original_gsc","normalized_url","apex_host","clicks","impressions","ctr","position","page_type"
"https://www.alefotografo.com.br/blog/fotos-de-comida-tudo-o-que-voce-precisa-saber-para-tornar-pratos-visivelmente-atraentes","https://www.alefotografo.com.br/blog/fotos-de-comida-tudo-o-que-voce-precisa-saber-para-tornar-pratos-visivelmente-atraentes","NAO","17","2933","0.58%","10.49","BLOG"
"https://www.alefotografo.com.br/fotografo-corporativo/fotografo-feiras-stands","https://www.alefotografo.com.br/fotografo-corporativo/fotografo-feiras-stands","NAO","17","1340","1.27%","9.44","MONEY"
"https://www.alefotografo.com.br/blog/youtube-live-como-fazer-uma-transmissao-ao-vivo-e-divulgar-sua-empresa","https://www.alefotografo.com.br/blog/youtube-live-como-fazer-uma-transmissao-ao-vivo-e-divulgar-sua-empresa","NAO","16","3632","0.44%","7.94","BLOG"
"https://www.alefotografo.com.br/loja/pacote-ouro-10-retratos-profissionais-construcao-de-imagem-profissional","https://www.alefotografo.com.br/loja/pacote-ouro-10-retratos-profissionais-construcao-de-imagem-profissional","NAO","15","1946","0.77%","17.75","LEGACY"
"https://www.alefotografo.com.br/blog/10-dicas-para-ter-um-ambiente-agradavel-para-o-seu-evento-fotografia-de-evento","https://www.alefotografo.com.br/blog/10-dicas-para-ter-um-ambiente-agradavel-para-o-seu-evento-fotografia-de-evento","NAO","14","1396","0.01%","6.48","BLOG"
"https://www.alefotografo.com.br/blog/blazer-inspiracao-e-tendencia","https://www.alefotografo.com.br/blog/blazer-inspiracao-e-tendencia","NAO","12","4477","0.27%","6.69","BLOG"
"https://www.alefotografo.com.br/blog/banco-de-imagens-a-importancia-de-desenvolver-um-para-sua-empresa","https://www.alefotografo.com.br/blog/banco-de-imagens-a-importancia-de-desenvolver-um-para-sua-empresa","NAO","11","5961","0.18%","7.17","BLOG"
"https://www.alefotografo.com.br/blog/clinica-par","https://www.alefotografo.com.br/blog/clinica-par","NAO","11","1166","0.94%","6.7","BLOG"
"https://www.alefotografo.com.br/blog/comportamento-do-consumidor-como-a-fotografia-pode-ser-usada-para-influenciar-beneficamente","https://www.alefotografo.com.br/blog/comportamento-do-consumidor-como-a-fotografia-pode-ser-usada-para-influenciar-beneficamente","NAO","11","987","1.11%","5.23","BLOG"
"https://www.alefotografo.com.br/loja/pacote-diamante-20-retratos-profissionais-construcao-de-imagem-profissional","https://www.alefotografo.com.br/loja/pacote-diamante-20-retratos-profissionais-construcao-de-imagem-profissional","NAO","11","444","2.48%","13.36","LEGACY"
"https://www.alefotografo.com.br/blog/adobe-photoshop-deixe-seus-projetos-mais-ageis-usando-os-principais-atalhos-do-teclado","https://www.alefotografo.com.br/blog/adobe-photoshop-deixe-seus-projetos-mais-ageis-usando-os-principais-atalhos-do-teclado","NAO","10","3005","0.33%","16.13","BLOG"
"https://www.alefotografo.com.br/loja","https://www.alefotografo.com.br/loja","NAO","9","1226","0.73%","36.04","LEGACY"
"https://www.alefotografo.com.br/fotografo-corporativo/totem-fotografico-totem-mania","https://www.alefotografo.com.br/fotografo-corporativo/totem-fotografico-totem-mania","NAO","9","759","1.19%","9.19","MONEY"
"https://alefotografo.com.br/fotografo-corporativo/fotografo-de-arquitetura-e-interiores","https://www.alefotografo.com.br/fotografo-corporativo/fotografo-de-arquitetura-e-interiores","SIM","9","375","2.4%","15.97","MONEY"
"https://alefotografo.com.br/fotografo-corporativo/banco-de-imagens-para-empresas","https://www.alefotografo.com.br/fotografo-corporativo/banco-de-imagens-para-empresas","SIM","8","1921","0.42%","17.84","MONEY"
"https://alefotografo.com.br/fotografo-corporativo/fotografia-industrial-em-sp","https://www.alefotografo.com.br/fotografo-corporativo/fotografia-industrial-em-sp","SIM","8","313","2.56%","11.13","MONEY"
"https://www.alefotografo.com.br/blog/fotografo-dica-como-a-luz-pode-transformar-suas-fotos","https://www.alefotografo.com.br/blog/fotografo-dica-como-a-luz-pode-transformar-suas-fotos","NAO","7","3889","0.18%","7.1","BLOG"
"https://www.alefotografo.com.br/blog/a-importancia-do-retrato-corporativo-para-influenciadores-digitais-1","https://www.alefotografo.com.br/blog/a-importancia-do-retrato-corporativo-para-influenciadores-digitais-1","NAO","7","2089","0.34%","18.58","BLOG"
"https://www.alefotografo.com.br/blog/networking-como-criar-uma-boa-rede-de-contatos-profissionais-para-voce-e-sua-empresa","https://www.alefotografo.com.br/blog/networking-como-criar-uma-boa-rede-de-contatos-profissionais-para-voce-e-sua-empresa","NAO","6","5435","0.11%","9.8","BLOG"
"https://www.alefotografo.com.br/videos-para-empresas/ativa-logistica-unidade-barueri","https://www.alefotografo.com.br/videos-para-empresas/ativa-logistica-unidade-barueri","NAO","6","4170","0.14%","15.44","VIDEO_SERVICE"
"https://www.alefotografo.com.br/blog/7-dicas-para-maximizar-seu-perfil-no-linkedin","https://www.alefotografo.com.br/blog/7-dicas-para-maximizar-seu-perfil-no-linkedin","NAO","6","1030","0.58%","8.87","BLOG"
"https://www.alefotografo.com.br/videos-para-empresas/ensaio-de-retratos-profissionais-ale-fotografo","https://www.alefotografo.com.br/videos-para-empresas/ensaio-de-retratos-profissionais-ale-fotografo","NAO","5","3170","0.16%","18.86","VIDEO_SERVICE"
"https://www.alefotografo.com.br/blog/linkedin-e-emprego-7-dicas-de-como-usar-essa-rede-social-para-conseguir-um","https://www.alefotografo.com.br/blog/linkedin-e-emprego-7-dicas-de-como-usar-essa-rede-social-para-conseguir-um","NAO","5","2194","0.23%","8.25","BLOG"
"https://www.alefotografo.com.br/blog/fotografo-da-dica-de-como-a-fotografia-de-comidas-e-bebidas-pode-te-ajudar","https://www.alefotografo.com.br/blog/fotografo-da-dica-de-como-a-fotografia-de-comidas-e-bebidas-pode-te-ajudar","NAO","5","1482","0.34%","2.73","BLOG"
"https://www.alefotografo.com.br/blog/fotografo-da-dicas-para-fotografar-comida","https://www.alefotografo.com.br/blog/fotografo-da-dicas-para-fotografar-comida","NAO","5","907","0.55%","8.13","BLOG"
"https://alefotografo.com.br/blog/como-criar-conteudo-envolvente-para-suas-redes-sociais-a-partir-do-seu-proprio-banco-de-imagens","https://www.alefotografo.com.br/blog/como-criar-conteudo-envolvente-para-suas-redes-sociais-a-partir-do-seu-proprio-banco-de-imagens","SIM","5","521","0.96%","6.44","BLOG"
"https://www.alefotografo.com.br/fotografo-corporativo/fotografia-de-logistica","https://www.alefotografo.com.br/fotografo-corporativo/fotografia-de-logistica","NAO","5","508","0.98%","11.22","MONEY"
"https://www.alefotografo.com.br/contato","https://www.alefotografo.com.br/contato","NAO","5","313","1.6%","5.42","SUPPORT"
"https://alefotografo.com.br/fotografo-corporativo/fotografo-de-drinks-coqueteis","https://www.alefotografo.com.br/fotografo-corporativo/fotografo-de-drinks-coqueteis","SIM","5","158","3.16%","6.77","MONEY"
